Designator,Mid X,Mid Y,Rotation,Layer
D1,111.690627,-92.394363,9.0,bottom
D10,182.170353,-124.158452,20.0,bottom
D11,106.371845,-125.975768,9.0,bottom
D12,125.616851,-122.063331,16.0,bottom
D13,144.493695,-122.417275,20.0,bottom
D14,160.253841,-131.745094,20.0,bottom
D15,176.356009,-140.133222,20.0,bottom
D16,168.5695,-156.448733,207.0,bottom
D17,184.502268,-165.833855,214.0,bottom
D18,324.481715,-92.394365,351.0,bottom
D19,327.141104,-109.185064,351.0,bottom
D2,134.988517,-89.380435,16.0,bottom
D20,329.800492,-125.975766,351.0,bottom
D21,301.183821,-89.380431,344.0,bottom
D22,305.869658,-105.721881,344.0,bottom
D23,310.555491,-122.063333,344.0,bottom
D24,280.04996,-90.467723,340.0,bottom
D25,285.864299,-106.442495,340.0,bottom
D26,291.678644,-122.417268,340.0,bottom
D27,264.289813,-99.795544,340.0,bottom
D28,270.104155,-115.770322,340.0,bottom
D29,275.918497,-131.745098,340.0,bottom
D3,156.12238,-90.467716,20.0,bottom
D30,267.602835,-156.448732,333.0,bottom
D31,248.187641,-108.183679,340.0,bottom
D32,254.001981,-124.158458,340.0,bottom
D33,259.816324,-140.133226,340.0,bottom
D34,251.670062,-165.833845,326.0,bottom
D35,151.114988,-149.129522,200.0,bottom
D36,124.3,-153.674635,0.0,bottom
D37,106.3,-153.7068,0.0,bottom
D38,284.790051,-148.868631,340.0,bottom
D39,312.2,-153.649,0.0,bottom
D4,171.882534,-99.795547,20.0,bottom
D40,330.2,-153.649,0.0,bottom
D5,187.984702,-108.183677,20.0,bottom
D6,109.031235,-109.185064,9.0,bottom
D7,130.302686,-105.721875,16.0,bottom
D8,150.308038,-106.442495,20.0,bottom
D9,166.068189,-115.77032,20.0,bottom
J1,182.8,-75.0,90.0,bottom
J2,203.15,-75.0,270.0,bottom
J3,255.6511,-75.0,270.0,bottom
J4,233.0621,-75.0,90.0,bottom
J5,232.0,-147.0,135.0,bottom
MB1,188.5,-72.5,0.0,top
MB2_5,212.9,-97.5,90.0,top
MB2_4,218.1,-102.05,0.0,top
MB2_3,223.3,-97.5,90.0,top
MB2_2,188.5,-81.0,0.0,top
MB2,218.1,-172.25,0.0,top
MB3,247.7,-72.5,0.0,top
MB4,247.7,-81.0,0.0,top
